	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length			
PL_1	0.00000000154695915	0.00000000154753665	0.00000000154739145	0.00000000154702185	0.00000000154834845	0.0000000015483105	0.00000000154844085	0.0000000015473337	0.00000000154765875	0.0000000015472776	0.00000000154754655	0.00000000154799535	0.00000000154696245	0.0000000015479244	0.0000000015479145	0.0000000015472743	0.00000000154792275	0.0000000015477462	0.0000000015478353	0.00000000154739145	0.0000000015473832	0.0000000015469872	0.00000000154729575	0.0000000015474921	0.0000000015473799	0.000000001547799	0.0000000015477726	0.00000000154843095			
PL_3	0.00000000154735845	0.00000000154787325	0.0000000015474987	0.0000000015473865	0.00000000154705815	0.00000000154758615	0.00000000154693935	0.00000000154711755	0.000000001548294	0.0000000015481587	0.00000000154814055	0.00000000154767525	0.000000001548195	0.00000000154727595	0.0000000015474459	0.0000000015481026	0.00000000154698225	0.0000000015472809	0.00000000154770165	0.00000000154836165	0.0000000015474756	0.0000000015484557	0.00000000154741785	0.00000000154758945	0.0000000015481191	0.0000000015475614	0.00000000154703835	0.0000000015477429			
PL_4	0.00000000154787655	0.00000000154747065	0.0000000015477693	0.00000000154772805	0.0000000015481125	0.00000000154704	0.00000000154772805	0.0000000015479277	0.0000000015478815	0.00000000154776765	0.0000000015470697	0.00000000154759605	0.0000000015479772	0.00000000154839795	0.00000000154727265	0.00000000154824285	0.00000000154721325	0.00000000154784685	0.00000000154795905	0.00000000154698885	0.00000000154717695	0.00000000154778415	0.0000000015484557	0.0000000015471621	0.0000000015479046	0.0000000015483072	0.0000000015484425	0.0000000015470598			
PL_7	0.00000000154749375	0.00000000154749705	0.00000000154714725	0.000000001547898	0.0000000015484194	0.00000000154699545	0.00000000154748715	0.0000000015481455	0.0000000015478881	0.00000000154775115	0.00000000154707465	0.0000000015474294	0.00000000154824285	0.0000000015472578	0.0000000015482016	0.00000000154839465	0.0000000015483897	0.0000000015482082	0.00000000154768185	0.0000000015473568	0.0000000015476043	0.0000000015479046	0.0000000015472446	0.0000000015476505	0.00000000154691955	0.00000000154786995	0.00000000154753335	0.00000000154745745			
PL_2	0.00000000154721325	0.00000000154699875	0.00000000154791615	0.0000000015478881	0.00000000154703175	0.00000000154804155	0.00000000154822305	0.0000000015478155	0.000000001547832	0.00000000154704165	0.00000000154845735	0.00000000154818345	0.0000000015484293	0.00000000154830555	0.0000000015478155	0.0000000015472809	0.00000000154822965	0.00000000154835835	0.00000000154839795	0.00000000154821645	0.0000000015481521	0.00000000154709115	0.0000000015471456	0.0000000015485118	0.00000000154822635	0.00000000154840125	0.0000000015473436	0.00000000154749375			
PB_5	0.0000000012718992	0.000000001217436	0.0000000012544785	0.0000000013877028	0.00000000139298775	0.0000000012214752	0.0000000012556764	0.00000000119482275	0.00000000120905565	0.00000000127474545	0.0000000014321703	0.00000000124555035	0.0000000012327909	0.0000000012425424	0.0000000012728232	0.00000000123817815	0.00000000141884325	0.00000000144057045	0.00000000120505275	0.00000000125692545	0.00000000124258035	0.0000000012713316	0.00000000139895085	0.00000000122854545	0.00000000144594945	0.00000000139026195	0.0000000012015894	0.0000000012411465			
PB_4	0.00000000144922635	0.0000000013012098	0.00000000135050685	0.00000000149018595	0.00000000128867805	0.0000000013310253	0.00000000121209	0.000000001188297	0.00000000129382935	0.0000000012007446	0.0000000014473833	0.0000000012033483	0.0000000012734634	0.00000000132587895	0.00000000121507155	0.0000000012917421	0.0000000013563759	0.00000000135215025	0.00000000129000465	0.0000000013233627	0.00000000119898405	0.0000000012440043	0.00000000140754735	0.00000000132765105	0.00000000137202615	0.00000000132712635	0.0000000012651573	0.0000000012736284			
AR_CLKP_0	0.0000000012757932	0.000000001204797	0.00000000125967105	0.00000000157519065	0.00000000134527965	0.0000000012566499	0.00000000122876655	0.00000000118924575	0.00000000136668015	0.00000000129577635	0.0000000013012032	0.00000000119425185	0.0000000012147267	0.00000000131516715	0.0000000013028928	0.00000000119695125	0.0000000012150996	0.0000000014539272	0.0000000012127797	0.000000001272711	0.0000000014002395	0.0000000011918181	0.0000000013672164	0.0000000012682164	0.00000000147347145	0.000000001227336	0.00000000118661235	0.00000000124311			
AR_CLKN_0	0.00000000127581465	0.0000000012048267	0.0000000012598113	0.0000000015752154	0.00000000134529615	0.00000000125680005	0.00000000122883585	0.0000000011891319	0.00000000136665045	0.00000000129589515	0.0000000013013253	0.00000000119410005	0.0000000012148785	0.00000000131531235	0.0000000013027608	0.0000000011969562	0.00000000121508805	0.0000000014538381	0.00000000121278795	0.00000000127267305	0.00000000140030385	0.000000001191795	0.0000000013673286	0.00000000126815865	0.00000000147355065	0.00000000122747625	0.000000001186647	0.0000000012430374			
JCOMP	0.00000000121083765	0.0000000011904354	0.00000000128707095	0.00000000132721545	0.00000000122417295	0.000000001257201	0.00000000118763535	0.00000000119384925	0.000000001236114	0.0000000013239171	0.00000000134039235	0.0000000011971575	0.00000000124521705	0.00000000119137425	0.0000000012595341	0.0000000012022659	0.0000000012121362	0.0000000014994243	0.0000000012285768	0.00000000125366835	0.00000000131669835	0.00000000121287045	0.00000000129376665	0.00000000119288895	0.00000000158642715	0.0000000013122318	0.00000000119386905	0.00000000119138085			
